"Portions and Weights
2017-2018 Food and Nutrient Database for Dietary Studies - At A Glance                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ",,,,,,,,
Food code,Main food description,Subcode,Subcode description,WWEIA Category number,WWEIA Category description,Seq num,Portion description,Portion weight (g)
23332100,"Opossum, cooked",,,2008,"Lamb, goat, game",4,Quantity not specified,85
23333100,"Squirrel, cooked",,,2008,"Lamb, goat, game",1,"1 oz, with bone, cooked (yield after bone removed)",23
23333100,"Squirrel, cooked",,,2008,"Lamb, goat, game",2,"1 oz, with bone, raw (yield after cooking, bone removed)",20
23333100,"Squirrel, cooked",,,2008,"Lamb, goat, game",3,"1 cubic inch, boneless, cooked",18
23333100,"Squirrel, cooked",,,2008,"Lamb, goat, game",4,"1 cup, cooked, diced",140
23333100,"Squirrel, cooked",,,2008,"Lamb, goat, game",5,Quantity not specified,85
23334100,"Beaver, cooked",,,2008,"Lamb, goat, game",1,"1 oz, boneless, cooked",28.35
23334100,"Beaver, cooked",,,2008,"Lamb, goat, game",2,Quantity not specified,85
23335100,"Raccoon, cooked",,,2008,"Lamb, goat, game",1,"1 oz, boneless, cooked",28.35
23335100,"Raccoon, cooked",,,2008,"Lamb, goat, game",2,Quantity not specified,85
23340100,"Armadillo, cooked",,,2008,"Lamb, goat, game",1,"1 oz, boneless, cooked",28.35
23340100,"Armadillo, cooked",,,2008,"Lamb, goat, game",2,Quantity not specified,85
23345100,"Wild pig, smoked",,,2008,"Lamb, goat, game",1,"1 oz, boneless, cooked",28.35
23345100,"Wild pig, smoked",,,2008,"Lamb, goat, game",2,"1 cup, cooked, diced",140
23345100,"Wild pig, smoked",,,2008,"Lamb, goat, game",3,Quantity not specified,85
23350100,"Ostrich, cooked",,,2206,"Turkey, duck, other poultry",1,"1 oz, cooked",28.35
23350100,"Ostrich, cooked",,,2206,"Turkey, duck, other poultry",2,"1 cup, cooked, diced",135
23350100,"Ostrich, cooked",,,2206,"Turkey, duck, other poultry",3,Quantity not specified,85
23410010,"Lamb, baby food, strained",,,9008,Baby food: meat and dinners,1,1 tablespoon,15
23410010,"Lamb, baby food, strained",,,9008,Baby food: meat and dinners,3,Quantity not specified,35
23410010,"Lamb, baby food, strained",,,9008,Baby food: meat and dinners,7,"1 jar, NFS",71
23410010,"Lamb, baby food, strained",,,9008,Baby food: meat and dinners,8,1 Gerber 2nd FOODS,71
23420010,"Veal, baby food, strained",,,9008,Baby food: meat and dinners,1,1 tablespoon,15
23420010,"Veal, baby food, strained",,,9008,Baby food: meat and dinners,3,Quantity not specified,35
23420010,"Veal, baby food, strained",,,9008,Baby food: meat and dinners,7,"1 jar, NFS",71
23420010,"Veal, baby food, strained",,,9008,Baby food: meat and dinners,8,1 Gerber 2nd FOODS,71
24100000,"Chicken, NS as to part and cooking method, NS as to skin eaten",,,2202,"Chicken, whole pieces",1,"1 cup, cooked, diced",135
24100000,"Chicken, NS as to part and cooking method, NS as to skin eaten",,,2202,"Chicken, whole pieces",2,1 piece,60
24100000,"Chicken, NS as to part and cooking method, NS as to skin eaten",,,2202,"Chicken, whole pieces",3,1 slice,60
24100000,"Chicken, NS as to part and cooking method, NS as to skin eaten",,,2202,"Chicken, whole pieces",4,"1 oz, cooked",28.35
24100000,"Chicken, NS as to part and cooking method, NS as to skin eaten",,,2202,"Chicken, whole pieces",16,Quantity not specified,85
24100010,"Chicken, NS as to part and cooking method, skin eaten",,,2202,"Chicken, whole pieces",1,"1 cup, cooked, diced",135
24100010,"Chicken, NS as to part and cooking method, skin eaten",,,2202,"Chicken, whole pieces",2,1 piece,60
24100010,"Chicken, NS as to part and cooking method, skin eaten",,,2202,"Chicken, whole pieces",3,1 slice,60
24100010,"Chicken, NS as to part and cooking method, skin eaten",,,2202,"Chicken, whole pieces",4,"1 oz, cooked",28.35
24100010,"Chicken, NS as to part and cooking method, skin eaten",,,2202,"Chicken, whole pieces",16,Quantity not specified,85
24100020,"Chicken, NS as to part and cooking method, skin not eaten",,,2202,"Chicken, whole pieces",1,"1 cup, cooked, diced",135
24100020,"Chicken, NS as to part and cooking method, skin not eaten",,,2202,"Chicken, whole pieces",2,1 piece,50
24100020,"Chicken, NS as to part and cooking method, skin not eaten",,,2202,"Chicken, whole pieces",3,1 slice,60
24100020,"Chicken, NS as to part and cooking method, skin not eaten",,,2202,"Chicken, whole pieces",4,"1 oz, cooked",28.35
24100020,"Chicken, NS as to part and cooking method, skin not eaten",,,2202,"Chicken, whole pieces",20,Quantity not specified,85
24102000,"Chicken, NS as to part, baked, broiled, or roasted, NS as to skin eaten",,,2202,"Chicken, whole pieces",1,"1 cup, cooked, diced",135
24102000,"Chicken, NS as to part, baked, broiled, or roasted, NS as to skin eaten",,,2202,"Chicken, whole pieces",2,1 piece,60
24102000,"Chicken, NS as to part, baked, broiled, or roasted, NS as to skin eaten",,,2202,"Chicken, whole pieces",3,1 slice,60
24102000,"Chicken, NS as to part, baked, broiled, or roasted, NS as to skin eaten",,,2202,"Chicken, whole pieces",4,"1 oz, cooked",28.35
24102000,"Chicken, NS as to part, baked, broiled, or roasted, NS as to skin eaten",,,2202,"Chicken, whole pieces",16,"1/2 chicken (yield after cooking, bone removed)",300
24102000,"Chicken, NS as to part, baked, broiled, or roasted, NS as to skin eaten",,,2202,"Chicken, whole pieces",17,Quantity not specified,85
24102010,"Chicken, NS as to part, baked, broiled, or roasted, skin eaten",,,2202,"Chicken, whole pieces",1,"1 cup, cooked, diced",135
24102010,"Chicken, NS as to part, baked, broiled, or roasted, skin eaten",,,2202,"Chicken, whole pieces",2,1 piece,60
24102010,"Chicken, NS as to part, baked, broiled, or roasted, skin eaten",,,2202,"Chicken, whole pieces",3,1 slice,60
24102010,"Chicken, NS as to part, baked, broiled, or roasted, skin eaten",,,2202,"Chicken, whole pieces",4,"1 oz, cooked",28.35
24102010,"Chicken, NS as to part, baked, broiled, or roasted, skin eaten",,,2202,"Chicken, whole pieces",16,"1/2 chicken (yield after cooking, bone removed)",300
24102010,"Chicken, NS as to part, baked, broiled, or roasted, skin eaten",,,2202,"Chicken, whole pieces",17,Quantity not specified,85
24102020,"Chicken, NS as to part, baked, broiled, or roasted, skin not eaten",,,2202,"Chicken, whole pieces",1,"1 cup, cooked, diced",135
24102020,"Chicken, NS as to part, baked, broiled, or roasted, skin not eaten",,,2202,"Chicken, whole pieces",2,1 piece,50
24102020,"Chicken, NS as to part, baked, broiled, or roasted, skin not eaten",,,2202,"Chicken, whole pieces",3,1 slice,60
24102020,"Chicken, NS as to part, baked, broiled, or roasted, skin not eaten",,,2202,"Chicken, whole pieces",4,"1 oz, cooked",28.35
24102020,"Chicken, NS as to part, baked, broiled, or roasted, skin not eaten",,,2202,"Chicken, whole pieces",5,"1/2 chicken (yield after cooking, bone and skin removed)",245
24102020,"Chicken, NS as to part, baked, broiled, or roasted, skin not eaten",,,2202,"Chicken, whole pieces",21,Quantity not specified,85
24102050,"Chicken, NS as to part, rotisserie, NS as to skin eaten",,,2202,"Chicken, whole pieces",1,"1 cup, cooked, diced",135
24102050,"Chicken, NS as to part, rotisserie, NS as to skin eaten",,,2202,"Chicken, whole pieces",2,1 piece,60
24102050,"Chicken, NS as to part, rotisserie, NS as to skin eaten",,,2202,"Chicken, whole pieces",3,1 slice,60
24102050,"Chicken, NS as to part, rotisserie, NS as to skin eaten",,,2202,"Chicken, whole pieces",4,"1 oz, cooked",28.35
24102050,"Chicken, NS as to part, rotisserie, NS as to skin eaten",,,2202,"Chicken, whole pieces",5,"1/2 chicken (yield after cooking, bone removed)",300
24102050,"Chicken, NS as to part, rotisserie, NS as to skin eaten",,,2202,"Chicken, whole pieces",6,Quantity not specified,85
24102060,"Chicken, NS as to part, rotisserie, skin eaten",,,2202,"Chicken, whole pieces",1,"1 cup, cooked, diced",135
24102060,"Chicken, NS as to part, rotisserie, skin eaten",,,2202,"Chicken, whole pieces",2,1 piece,60
24102060,"Chicken, NS as to part, rotisserie, skin eaten",,,2202,"Chicken, whole pieces",3,1 slice,60
24102060,"Chicken, NS as to part, rotisserie, skin eaten",,,2202,"Chicken, whole pieces",4,"1 oz, cooked",28.35
24102060,"Chicken, NS as to part, rotisserie, skin eaten",,,2202,"Chicken, whole pieces",5,"1/2 chicken (yield after cooking, bone removed)",300
24102060,"Chicken, NS as to part, rotisserie, skin eaten",,,2202,"Chicken, whole pieces",6,Quantity not specified,85
24102070,"Chicken, NS as to part, rotisserie, skin not eaten",,,2202,"Chicken, whole pieces",1,"1 cup, cooked, diced",135
24102070,"Chicken, NS as to part, rotisserie, skin not eaten",,,2202,"Chicken, whole pieces",2,1 piece,50
24102070,"Chicken, NS as to part, rotisserie, skin not eaten",,,2202,"Chicken, whole pieces",3,1 slice,60
24102070,"Chicken, NS as to part, rotisserie, skin not eaten",,,2202,"Chicken, whole pieces",4,"1 oz, cooked",28.35
24102070,"Chicken, NS as to part, rotisserie, skin not eaten",,,2202,"Chicken, whole pieces",5,"1/2 chicken (yield after cooking, bone removed)",245
24102070,"Chicken, NS as to part, rotisserie, skin not eaten",,,2202,"Chicken, whole pieces",6,Quantity not specified,85
24103000,"Chicken, NS as to part, stewed, NS as to skin eaten",,,2202,"Chicken, whole pieces",1,"1 cup, cooked, diced",135
24103000,"Chicken, NS as to part, stewed, NS as to skin eaten",,,2202,"Chicken, whole pieces",2,1 piece,70
24103000,"Chicken, NS as to part, stewed, NS as to skin eaten",,,2202,"Chicken, whole pieces",3,1 slice,60
24103000,"Chicken, NS as to part, stewed, NS as to skin eaten",,,2202,"Chicken, whole pieces",4,"1 oz, cooked",28.35
24103000,"Chicken, NS as to part, stewed, NS as to skin eaten",,,2202,"Chicken, whole pieces",17,Quantity not specified,85
24103010,"Chicken, NS as to part, stewed, skin eaten",,,2202,"Chicken, whole pieces",1,"1 cup, cooked, diced",135
24103010,"Chicken, NS as to part, stewed, skin eaten",,,2202,"Chicken, whole pieces",2,1 piece,70
24103010,"Chicken, NS as to part, stewed, skin eaten",,,2202,"Chicken, whole pieces",3,1 slice,60
24103010,"Chicken, NS as to part, stewed, skin eaten",,,2202,"Chicken, whole pieces",4,"1 oz, cooked",28.35
24103010,"Chicken, NS as to part, stewed, skin eaten",,,2202,"Chicken, whole pieces",17,Quantity not specified,85
24103020,"Chicken, NS as to part, stewed, skin not eaten",,,2202,"Chicken, whole pieces",1,"1 cup, cooked, diced",135
24103020,"Chicken, NS as to part, stewed, skin not eaten",,,2202,"Chicken, whole pieces",2,1 piece,55
24103020,"Chicken, NS as to part, stewed, skin not eaten",,,2202,"Chicken, whole pieces",3,1 slice,60
24103020,"Chicken, NS as to part, stewed, skin not eaten",,,2202,"Chicken, whole pieces",4,"1 oz, cooked",28.35
24103020,"Chicken, NS as to part, stewed, skin not eaten",,,2202,"Chicken, whole pieces",21,Quantity not specified,85
24103050,"Chicken, NS as to part, grilled without sauce, NS as to skin eaten",,,2202,"Chicken, whole pieces",1,"1 cup, cooked, diced",135
24103050,"Chicken, NS as to part, grilled without sauce, NS as to skin eaten",,,2202,"Chicken, whole pieces",2,1 piece,60
24103050,"Chicken, NS as to part, grilled without sauce, NS as to skin eaten",,,2202,"Chicken, whole pieces",3,1 slice,60
24103050,"Chicken, NS as to part, grilled without sauce, NS as to skin eaten",,,2202,"Chicken, whole pieces",4,"1 oz, cooked",28.35
24103050,"Chicken, NS as to part, grilled without sauce, NS as to skin eaten",,,2202,"Chicken, whole pieces",5,Quantity not specified,85
24103055,"Chicken, NS as to part, grilled without sauce, skin eaten",,,2202,"Chicken, whole pieces",1,"1 cup, cooked, diced",135
24103055,"Chicken, NS as to part, grilled without sauce, skin eaten",,,2202,"Chicken, whole pieces",2,1 piece,60
24103055,"Chicken, NS as to part, grilled without sauce, skin eaten",,,2202,"Chicken, whole pieces",3,1 slice,60
24103055,"Chicken, NS as to part, grilled without sauce, skin eaten",,,2202,"Chicken, whole pieces",4,"1 oz, cooked",28.35
24103055,"Chicken, NS as to part, grilled without sauce, skin eaten",,,2202,"Chicken, whole pieces",5,Quantity not specified,85
24103060,"Chicken, NS as to part, grilled without sauce, skin not eaten",,,2202,"Chicken, whole pieces",1,"1 cup, cooked, diced",135
24103060,"Chicken, NS as to part, grilled without sauce, skin not eaten",,,2202,"Chicken, whole pieces",2,1 piece,50
24103060,"Chicken, NS as to part, grilled without sauce, skin not eaten",,,2202,"Chicken, whole pieces",3,1 slice,60
24103060,"Chicken, NS as to part, grilled without sauce, skin not eaten",,,2202,"Chicken, whole pieces",4,"1 oz, cooked",28.35
24103060,"Chicken, NS as to part, grilled without sauce, skin not eaten",,,2202,"Chicken, whole pieces",5,Quantity not specified,85
24103070,"Chicken, NS as to part, grilled with sauce, NS as to skin eaten",,,2202,"Chicken, whole pieces",1,"1 cup, cooked, diced",165
24103070,"Chicken, NS as to part, grilled with sauce, NS as to skin eaten",,,2202,"Chicken, whole pieces",2,1 piece,85
24103070,"Chicken, NS as to part, grilled with sauce, NS as to skin eaten",,,2202,"Chicken, whole pieces",3,1 slice,60
24103070,"Chicken, NS as to part, grilled with sauce, NS as to skin eaten",,,2202,"Chicken, whole pieces",4,"1 oz, cooked",28.35
24103070,"Chicken, NS as to part, grilled with sauce, NS as to skin eaten",,,2202,"Chicken, whole pieces",5,Quantity not specified,85
24103075,"Chicken, NS as to part, grilled with sauce, skin eaten",,,2202,"Chicken, whole pieces",1,"1 cup, cooked, diced",165
24103075,"Chicken, NS as to part, grilled with sauce, skin eaten",,,2202,"Chicken, whole pieces",2,1 piece,85
24103075,"Chicken, NS as to part, grilled with sauce, skin eaten",,,2202,"Chicken, whole pieces",3,1 slice,60
24103075,"Chicken, NS as to part, grilled with sauce, skin eaten",,,2202,"Chicken, whole pieces",4,"1 oz, cooked",28.35
24103075,"Chicken, NS as to part, grilled with sauce, skin eaten",,,2202,"Chicken, whole pieces",5,Quantity not specified,85
24103080,"Chicken, NS as to part, grilled with sauce, skin not eaten",,,2202,"Chicken, whole pieces",1,"1 cup, cooked, diced",165
24103080,"Chicken, NS as to part, grilled with sauce, skin not eaten",,,2202,"Chicken, whole pieces",2,1 piece,75
24103080,"Chicken, NS as to part, grilled with sauce, skin not eaten",,,2202,"Chicken, whole pieces",3,1 slice,60
24103080,"Chicken, NS as to part, grilled with sauce, skin not eaten",,,2202,"Chicken, whole pieces",4,"1 oz, cooked",28.35
24103080,"Chicken, NS as to part, grilled with sauce, skin not eaten",,,2202,"Chicken, whole pieces",5,Quantity not specified,85
24104049,"Chicken, NS as to part, sauteed, skin eaten",,,2202,"Chicken, whole pieces",1,"1 cup, cooked, diced",135
24104049,"Chicken, NS as to part, sauteed, skin eaten",,,2202,"Chicken, whole pieces",2,1 piece,60
24104049,"Chicken, NS as to part, sauteed, skin eaten",,,2202,"Chicken, whole pieces",3,1 slice,60
24104049,"Chicken, NS as to part, sauteed, skin eaten",,,2202,"Chicken, whole pieces",4,"1 oz, cooked",28.35
24104049,"Chicken, NS as to part, sauteed, skin eaten",,,2202,"Chicken, whole pieces",5,Quantity not specified,85
24104051,"Chicken, NS as to part, sauteed, skin not eaten",,,2202,"Chicken, whole pieces",1,"1 cup, cooked, diced",135
24104051,"Chicken, NS as to part, sauteed, skin not eaten",,,2202,"Chicken, whole pieces",2,1 piece,60
24104051,"Chicken, NS as to part, sauteed, skin not eaten",,,2202,"Chicken, whole pieces",3,1 slice,60
24104051,"Chicken, NS as to part, sauteed, skin not eaten",,,2202,"Chicken, whole pieces",4,"1 oz, cooked",28.35
24104051,"Chicken, NS as to part, sauteed, skin not eaten",,,2202,"Chicken, whole pieces",5,Quantity not specified,85
24107070,"Chicken, NS as to part, fried, coated, skin / coating eaten",,,2202,"Chicken, whole pieces",1,"1 cup, cooked, diced",135
24107070,"Chicken, NS as to part, fried, coated, skin / coating eaten",,,2202,"Chicken, whole pieces",2,1 piece,85
24107070,"Chicken, NS as to part, fried, coated, skin / coating eaten",,,2202,"Chicken, whole pieces",3,1 slice,60
24107070,"Chicken, NS as to part, fried, coated, skin / coating eaten",,,2202,"Chicken, whole pieces",4,"1 oz, cooked",28.35
24107070,"Chicken, NS as to part, fried, coated, skin / coating eaten",,,2202,"Chicken, whole pieces",5,"1/2 chicken (yield after cooking, bone removed)",465
24107070,"Chicken, NS as to part, fried, coated, skin / coating eaten",,,2202,"Chicken, whole pieces",6,Quantity not specified,85
24107071,"Chicken, NS as to part, fried, coated, skin / coating not eaten",,,2202,"Chicken, whole pieces",1,"1 cup, cooked, diced",135
24107071,"Chicken, NS as to part, fried, coated, skin / coating not eaten",,,2202,"Chicken, whole pieces",2,1 piece,50
24107071,"Chicken, NS as to part, fried, coated, skin / coating not eaten",,,2202,"Chicken, whole pieces",3,1 slice,60
24107071,"Chicken, NS as to part, fried, coated, skin / coating not eaten",,,2202,"Chicken, whole pieces",4,"1 oz, cooked",28.35
24107071,"Chicken, NS as to part, fried, coated, skin / coating not eaten",,,2202,"Chicken, whole pieces",5,Quantity not specified,85
24107080,"Chicken, NS as to part, baked, coated, skin / coating eaten",,,2202,"Chicken, whole pieces",1,"1 cup, cooked, diced",135
24107080,"Chicken, NS as to part, baked, coated, skin / coating eaten",,,2202,"Chicken, whole pieces",2,1 piece,85
24107080,"Chicken, NS as to part, baked, coated, skin / coating eaten",,,2202,"Chicken, whole pieces",3,1 slice,60
24107080,"Chicken, NS as to part, baked, coated, skin / coating eaten",,,2202,"Chicken, whole pieces",4,"1 oz, cooked",28.35
24107080,"Chicken, NS as to part, baked, coated, skin / coating eaten",,,2202,"Chicken, whole pieces",5,"1/2 chicken (yield after cooking, bone removed)",465
24107080,"Chicken, NS as to part, baked, coated, skin / coating eaten",,,2202,"Chicken, whole pieces",6,Quantity not specified,85
24107081,"Chicken, NS as to part, baked, coated, skin / coating not eaten",,,2202,"Chicken, whole pieces",1,"1 cup, cooked, diced",135
24107081,"Chicken, NS as to part, baked, coated, skin / coating not eaten",,,2202,"Chicken, whole pieces",2,1 piece,50
24107081,"Chicken, NS as to part, baked, coated, skin / coating not eaten",,,2202,"Chicken, whole pieces",3,1 slice,60
